page	before	after	folded_from	folded_to
0033a	ΑΗΜΗΤΡΙΟΣ	ΔΗΜΗΤΡΙΟΣ	ΑΗΜΗΤΡΙΟΣ	ΔΗΜΗΤΡΙΟΣ
0034a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0034a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0034a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0034a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0034a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0034a	ΤΑΖΙΑ	ΤΑΣΙΑ	ΤΑΖΙΑ	ΤΑΣΙΑ
0034a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0035a	ΔΡΙΣΤΟΣ	ΑΡΙΣΤΟΣ	ΔΡΙΣΤΟΣ	ΑΡΙΣΤΟΣ
0035a	Άουλο	Άσυλο	ΑΟΥΛΟ	ΑΣΥΛΟ
0035a	Άουλο	Άσυλο	ΑΟΥΛΟ	ΑΣΥΛΟ
0035a	ΣΗΤΗΣ	ΖΗΤΗΣ	ΣΗΤΗΣ	ΖΗΤΗΣ
0035a	Άουλο	Άσυλο	ΑΟΥΛΟ	ΑΣΥΛΟ
0035a	ΚΟΥΤΖΗ	ΚΟΥΤΣΗ	ΚΟΥΤΖΗ	ΚΟΥΤΣΗ
0035b	ΝΕΑΡΣΙ	ΝΕΑΡΟΙ	ΝΕΑΡΣΙ	ΝΕΑΡΟΙ
0036a	Μάργης	Μάρτης	ΜΑΡΓΗΣ	ΜΑΡΤΗΣ
0036a	Στύρος	Σπύρος	ΣΤΥΡΟΣ	ΣΠΥΡΟΣ
0036a	Ρασιά	Τασιά	ΡΑΣΙΑ	ΤΑΣΙΑ
0036a	Ρασιά	Τασιά	ΡΑΣΙΑ	ΤΑΣΙΑ
0036a	ΦΑΝΑΤΟΙ	ΘΑΝΑΤΟΙ	ΦΑΝΑΤΟΙ	ΘΑΝΑΤΟΙ
0036a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0037a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0037a	Μιχαλεπούλου	Μιχαλοπούλου	ΜΙΧΑΛΕΠΟΥΛΟΥ	ΜΙΧΑΛΟΠΟΥΛΟΥ
0037a	Μιχαλεπούλου	Μιχαλοπούλου	ΜΙΧΑΛΕΠΟΥΛΟΥ	ΜΙΧΑΛΟΠΟΥΛΟΥ
0037a	Μπουή	Μπουν	ΜΠΟΥΗ	ΜΠΟΥΝ
0038b	Σίους	Στους	ΣΙΟΥΣ	ΣΤΟΥΣ
0038b	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0039a	ΒΟΥΛΙΑΡΜΕΝΗΣ	ΒΟΥΛΙΑΓΜΕΝΗΣ	ΒΟΥΛΙΑΡΜΕΝΗΣ	ΒΟΥΛΙΑΓΜΕΝΗΣ
0039b	Καλλιόνης	Καλλιόπης	ΚΑΛΛΙΟΝΗΣ	ΚΑΛΛΙΟΠΗΣ
0039b	ΑΝΤΩΝ	ΑΥΤΩΝ	ΑΝΤΩΝ	ΑΥΤΩΝ
0041b	ΟΔΟΨΥΧΑ	ΟΛΟΨΥΧΑ	ΟΔΟΨΥΧΑ	ΟΛΟΨΥΧΑ
0042a	Τουρού	Τουτού	ΤΟΥΡΟΥ	ΤΟΥΤΟΥ
0042a	Μέρφης	Μορφης	ΜΕΡΦΗΣ	ΜΟΡΦΗΣ
0042a	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ	ΑΦΙΣΕΙΣ	ΑΦΙΞΕΙΣ
0042a	Αντών	Αυτών	ΑΝΤΩΝ	ΑΥΤΩΝ
0042a	Ρασιά	Τασιά	ΡΑΣΙΑ	ΤΑΣΙΑ
0044a	μοκράς	μοιράς	ΜΟΚΡΑΣ	ΜΟΙΡΑΣ
0044b	ΣΟΔΕΥΟΥΝ	ΞΟΔΕΥΟΥΝ	ΣΟΔΕΥΟΥΝ	ΞΟΔΕΥΟΥΝ
0045a	Διέρη	Διέτη	ΔΙΕΡΗ	ΔΙΕΤΗ
0045b	ΝΕΑΡΣΙ	ΝΕΑΡΟΙ	ΝΕΑΡΣΙ	ΝΕΑΡΟΙ
0046a	πάτερος	πάτερες	ΠΑΤΕΡΟΣ	ΠΑΤΕΡΕΣ
0046a	Μεσχοβίτης	Μοσχοβίτης	ΜΕΣΧΟΒΙΤΗΣ	ΜΟΣΧΟΒΙΤΗΣ
0046a	Κυρτάκης	Κυριάκης	ΚΥΡΤΑΚΗΣ	ΚΥΡΙΑΚΗΣ
0046b	Δακεδαιμονίων	Λακεδαιμονίων	ΔΑΚΕΔΑΙΜΟΝΙΩΝ	ΛΑΚΕΔΑΙΜΟΝΙΩΝ
0046b	Δακώνες	Λακώνες	ΔΑΚΩΝΕΣ	ΛΑΚΩΝΕΣ
0046b	δόγγο	λόγγο	ΔΟΓΓΟ	ΛΟΓΓΟ
0048a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0048a	Καστέρι	Καστορι	ΚΑΣΤΕΡΙ	ΚΑΣΤΟΡΙ
0048a	ΑΦΑΝΑΣΙΟΣ	ΑΘΑΝΑΣΙΟΣ	ΑΦΑΝΑΣΙΟΣ	ΑΘΑΝΑΣΙΟΣ
0049b	Δακεδαιμονίων	Λακεδαιμονίων	ΔΑΚΕΔΑΙΜΟΝΙΩΝ	ΛΑΚΕΔΑΙΜΟΝΙΩΝ
0050b	αχτού	αυτού	ΑΧΤΟΥ	ΑΥΤΟΥ
0050b	δέσποια	δέσποτα	ΔΕΣΠΟΙΑ	ΔΕΣΠΟΤΑ
0050b	κατσίκους	κατοίκους	ΚΑΤΣΙΚΟΥΣ	ΚΑΤΟΙΚΟΥΣ
0051a	ΚΟΥΪΟΣ	ΚΟΥΡΟΣ	ΚΟΥΙΟΣ	ΚΟΥΡΟΣ
0052a	ΕΠΑΣΙΑ	ΕΠΑΞΙΑ	ΕΠΑΣΙΑ	ΕΠΑΞΙΑ
0052a	αεροτόρων	αεροπόρων	ΑΕΡΟΤΟΡΩΝ	ΑΕΡΟΠΟΡΩΝ
0052a	Αεροτόρων	Αεροπόρων	ΑΕΡΟΤΟΡΩΝ	ΑΕΡΟΠΟΡΩΝ
