verdict	suspect	suspect_count	candidate	candidate_count	freq_ratio	candidate_in_lexicon	confidence
one-known	ΔΙΕΝΥΣΙΟΣ	3	ΔΙΟΝΥΣΙΟΣ	41	13.7	True	high
one-known	ΑΛΔΟΥ	2	ΑΛΛΟΥ	27	13.5	True	high
one-known	ΤΑΛΙΑ	3	ΠΑΛΙΑ	40	13.3	True	high
one-known	ΜΟΛΕΤΗΣ	1	ΜΕΛΕΤΗΣ	13	13.0	True	high
one-known	ΑΓΚΑΔΙΑ	1	ΑΡΚΑΔΙΑ	13	13.0	True	high
one-known	ΜΑΣΕΜΑ	1	ΜΑΖΕΜΑ	13	13.0	True	high
one-known	ΑΤΡΙΚΗ	2	ΑΤΤΙΚΗ	24	12.0	True	high
one-known	ΓΑΣΙΑ	2	ΤΑΣΙΑ	24	12.0	True	high
one-known	ΟΔΟΨΥΧΑ	2	ΟΛΟΨΥΧΑ	24	12.0	True	high
one-known	ΟΛΟΥΥΧΑ	2	ΟΛΟΨΥΧΑ	24	12.0	True	high
one-known	ΜΙΧΑΛΕΠΟΥΛΟΥ	2	ΜΙΧΑΛΟΠΟΥΛΟΥ	24	12.0	True	high
one-known	ΣΥΓΚΑΙΡΩ	1	ΣΥΓΧΑΙΡΩ	12	12.0	True	high
one-known	ΠΑΝΤΟΛΗ	4	ΠΑΝΤΕΛΗ	45	11.2	True	high
one-known	ΚΕΡΗΣ	2	ΚΟΡΗΣ	22	11.0	True	high
one-known	ΚΕΝΤΟΥ	1	ΚΟΝΤΟΥ	11	11.0	True	high
one-known	ΦΡΑΓΚΕΣ	1	ΦΡΑΓΚΟΣ	11	11.0	True	high
one-known	ΤΡΙΒΑ	1	ΓΡΙΒΑ	11	11.0	True	high
one-known	ΔΟΓΓΟ	1	ΛΟΓΓΟ	11	11.0	True	high
one-known	ΔΑΚΩΝΕΣ	2	ΛΑΚΩΝΕΣ	21	10.5	True	high
one-known	ΞΩΣΤΗ	3	ΣΩΣΤΗ	31	10.3	True	high
one-known	ΔΙΕΝΥΣΙΟΥ	1	ΔΙΟΝΥΣΙΟΥ	10	10.0	True	high
one-known	ΝΕΙΡΑ	1	ΠΕΙΡΑ	10	10.0	True	high
one-known	ΕΚΔΕΚΤΟΙ	1	ΕΚΛΕΚΤΟΙ	10	10.0	True	high
one-known	ΑΝΟΙΖΕΙ	1	ΑΝΟΙΞΕΙ	10	10.0	True	high
one-known	ΕΦΤΑΞΕ	1	ΕΦΤΑΣΕ	10	10.0	True	high
one-known	ΕΝΟΙΚΙΑΞΕΤΑΙ	1	ΕΝΟΙΚΙΑΖΕΤΑΙ	10	10.0	True	high
one-known	ΑΡΜΟΑΙΟΥΣ	1	ΑΡΜΟΔΙΟΥΣ	10	10.0	True	high
one-known	ΠΟΡΙΑ	1	ΠΟΡΤΑ	10	10.0	True	high
one-known	ΣΤΕΡΗΣ	2	ΣΤΕΓΗΣ	18	9.0	True	high
one-known	ΣΑΧΑΡΗ	1	ΖΑΧΑΡΗ	9	9.0	True	high
one-known	ΦΑΡΜΑΚΕ	1	ΦΑΡΜΑΚΟ	9	9.0	True	high
one-known	ΜΕΣΧΟΒΙΤΗΣ	1	ΜΟΣΧΟΒΙΤΗΣ	9	9.0	True	high
one-known	ΑΛΛΟΙΕ	1	ΑΛΛΟΤΕ	9	9.0	True	high
one-known	ΠΟΝΕΣ	1	ΠΟΝΟΣ	9	9.0	True	high
one-known	ΤΕΡΟΝ	1	ΙΕΡΟΝ	9	9.0	True	high
one-known	ΓΕΡΟΝ	1	ΙΕΡΟΝ	9	9.0	True	high
one-known	ΠΙΟΤΟΙ	1	ΠΙΣΤΟΙ	9	9.0	True	high
one-known	ΤΕΡΟΥ	1	ΙΕΡΟΥ	9	9.0	True	high
one-known	ΜΕΤΑΚΟΜΙΞΕΙΣ	1	ΜΕΤΑΚΟΜΙΣΕΙΣ	9	9.0	True	high
