suspect	candidate	pages	second_saw_suspect	second_saw_candidate	verdict	prior_confidence
ΕΧΑΝΑΝ	ΕΚΑΝΑΝ	0041b	1	1	both-seen	low
ΔΑΣΚΑΛΕΣ	ΔΑΣΚΑΛΟΣ	0014b,0015a	1	1	both-seen	low
ΧΑΝΟΥΜΕ	ΚΑΝΟΥΜΕ	0024b,0070a	1	1	both-seen	low
ΦΥΤΕΥΕΙ	ΦΥΤΕΨΕΙ	0137a	1	1	both-seen	low
ΣΠΟΥΔΑΖΕ	ΣΠΟΥΔΑΣΕ	0018a	1	1	both-seen	low
ΑΛΛΟΣ	ΑΛΛΕΣ	0036b,0044b,0048a,0062a,0068a,0076a,0116a,0173a	2	1	both-seen	low
ΠΛΗΓΗ	ΠΛΗΡΗ	0020a,0025a,0081a	4	1	both-seen	low
ΛΟΥΚΑ	ΔΟΥΚΑ	0004b,0069a,0137a,0154a,0159a	3	1	both-seen	low
ΔΗΜΟΣΙΟΣ	ΔΗΜΟΣΙΕΣ	0084a,0148a,0152a	2	1	both-seen	low
ΓΝΩΣΤΕΣ	ΓΝΩΣΤΟΣ	0045b,0055b,0087a	2	1	both-seen	low
ΑΡΩΓΗ	ΑΓΩΓΗ	0030b,0041b,0048a	2	1	both-seen	low
ΠΡΩΙΜΗ	ΠΡΩΙΝΗ	0060a,0179a	2	1	both-seen	low
ΓΝΩΡΙΣΕΙ	ΓΝΩΡΙΖΕΙ	0007a,0061a,0063a,0115a,0116a,0151a	4	1	both-seen	low
ΣΚΕΠΑΣΕΙ	ΣΚΕΠΑΖΕΙ	0028b,0038b,0042a	1	1	both-seen	low
ΣΤΕΡΙΑ	ΣΤΟΡΙΑ	0004b,0020b	1	1	both-seen	low
ΠΡΩΘΥΠΟΥΡΓΕ	ΠΡΩΘΥΠΟΥΡΓΟ	0141a	1	1	both-seen	low
ΠΟΣΕΣ	ΤΟΣΕΣ	0017b,0115a,0149a	2	1	both-seen	low
ΓΕΜΑΤΕΣ	ΓΕΜΑΤΟΣ	0039a,0039b,0052a	1	1	both-seen	low
ΠΡΩΤΕΣ	ΠΡΩΤΟΣ	0004a,0020a,0021a,0022a,0048a,0056b,0057b,0106a,0130a,0146a,0159a,0173a,0177a	1	1	both-seen	low
ΣΙΩΤΗ	ΖΙΩΤΗ	0004b,0006a,0099a	1	1	both-seen	low
ΣΥΜΠΛΗΡΩΘΟ	ΣΥΜΠΛΗΡΩΘΕ	0025a	1	1	both-seen	low
ΝΙΚΗΦΟΡΕ	ΝΙΚΗΦΟΡΟ	0027a	1	1	both-seen	low
ΚΟΝΕΣ	ΚΟΝΟΣ	0071a	1	1	both-seen	low
ΔΙΚΟΣ	ΔΙΚΕΣ	0026a,0038b,0054a,0082a	2	1	both-seen	low
ΦΡΟΝΤΙΖΕ	ΦΡΟΝΤΙΣΕ	0035b,0046a,0174a	1	1	both-seen	low
ΛΑΟΥΣ	ΛΛΟΥΣ	0094a,0102a,0131a,0170a	3	1	both-seen	low
ΑΔΕΛΦΕ	ΑΔΕΛΦΟ	0014b,0024b,0030b,0179a	3	1	both-seen	low
ΦΩΝΑΖΕ	ΦΩΝΑΞΕ	0038b,0118a	1	1	both-seen	low
ΧΟΥΝΕ	ΧΟΥΜΕ	0150a	2	1	both-seen	low
ΜΙΚΡΟΣ	ΜΙΚΡΕΣ	0008a,0010b,0014b,0030a,0031a,0033a,0036a,0069a,0080a,0082a,0087a,0111a,0114a,0139a,0141a,0175a	6	1	both-seen	low
ΕΣΟΔΑ	ΕΞΟΔΑ	0003a,0007b,0009a,0013a,0019a,0036b,0038b,0045b,0073a,0134a,0144a,0148a,0152a	5	1	both-seen	low
ΠΟΙΑΣ	ΠΟΤΑΣ	0044a,0149a,0172a	4	1	both-seen	low
