suspect	candidate	pages	second_saw_suspect	second_saw_candidate	verdict	prior_confidence
ΓΝΩΡΙΣΟΥΜΕ	ΓΝΩΡΙΖΟΥΜΕ	0019a,0075a	1	0	suspect	low
ΠΑΓΚΟ	ΠΑΡΚΟ	0014b,0113a	1	0	suspect	low
ΠΗΡΑΝΕ	ΠΗΡΑΜΕ	0069a,0150a	2	0	suspect	low
ΑΥΣΤΗΡΟΣ	ΑΥΣΤΗΡΕΣ	0165a	0	0	unseen	low
ΚΛΕΙΣΤΕ	ΚΛΕΙΣΤΟ	0166a	0	0	unseen	low
ΠΑΛΤΟ	ΠΑΛΙΟ	0018a	0	0	unseen	low
ΑΝΟΙΚΤΟ	ΑΝΟΙΧΤΟ	0015a	0	0	unseen	low
ΦΥΤΕΥΑΝ	ΦΥΤΕΨΑΝ	0025b	0	0	unseen	low
ΣΠΟΥΔΑΣΕΙ	ΣΠΟΥΔΑΖΕΙ	0022a	1	0	suspect	low
ΔΙΑΛΕΚΤΟ	ΔΙΑΛΕΧΤΟ	0151a	0	0	unseen	low
ΑΙΩΝΙΕΣ	ΑΙΩΝΙΟΣ	0026a	0	0	unseen	low
ΜΙΚΤΗΣ	ΜΙΚΡΗΣ	0027a	0	0	unseen	low
ΣΤΑΘΗ	ΣΠΑΘΗ	0024b	0	0	unseen	low
ΧΑΙΡΩΝ	ΚΑΙΡΩΝ	0085a	1	0	suspect	low
ΤΑΙΖΕΙ	ΠΑΙΖΕΙ	0117a	0	0	unseen	low
ΕΥΘΥΜΕΣ	ΕΥΘΥΝΕΣ	0161a	0	0	unseen	low
ΕΓΚΥΚΛΙΕΣ	ΕΓΚΥΚΛΙΟΣ	0114a	0	0	unseen	low
ΚΟΛΩΝΟΣ	ΚΟΛΩΝΕΣ	0098a	0	0	unseen	low
ΠΑΡΟΥ	ΠΑΓΟΥ	0075a	0	0	unseen	low
ΤΣΑΓΚΟΥ	ΤΣΑΓΙΟΥ	0081a	0	0	unseen	low
ΜΟΡΤΗΣ	ΜΟΡΡΗΣ	0162a	0	0	unseen	low
ΕΥΘΥΜΗ	ΕΥΘΥΝΗ	0088a,0125a,0165a	0	0	unseen	low
ΠΟΡΟΣ	ΠΟΙΟΣ	0013b,0019a,0092a,0104a	2	0	suspect	low
ΙΕΡΟΥΣ	ΙΕΡΕΥΣ	0044a,0106a	0	0	unseen	low
ΓΟΝΟΣ	ΠΟΝΟΣ	0101a,0103a	2	0	suspect	low
ΚΟΣΤΙΣΕΙ	ΚΟΣΤΙΖΕΙ	0053a,0173a	1	0	suspect	low
ΕΞΩΤΕΡΙΚΩΝ	ΕΣΩΤΕΡΙΚΩΝ	0058a,0084a,0149a	0	0	unseen	low
ΝΟΝΟΣ	ΝΟΜΟΣ	0061a,0070a,0089a,0091a	4	0	suspect	low
ΑΞΙΕΣ	ΑΞΙΟΣ	0032a,0102a	0	0	unseen	low
ΑΡΧΙΖΟΥΝ	ΑΡΧΙΣΟΥΝ	0087a,0109a	0	0	unseen	low
ΜΑΓΙΚΑ	ΜΑΡΙΚΑ	0101a,0103a	1	0	suspect	low
ΟΥΣΙΑ	ΘΥΣΙΑ	0009a,0149a	0	0	unseen	low
ΓΕΜΑΤΟΥ	ΓΟΜΑΤΟΥ	0030a,0123a	0	0	unseen	low
ΕΙΠΑΝΕ	ΕΙΠΑΜΕ	0164a	0	0	unseen	low
ΓΕΡΑΚΙ	ΓΟΡΑΚΙ	0026b,0055b	2	0	suspect	low
ΜΑΡΙΟΥ	ΜΑΡΚΟΥ	0034a,0070a	0	0	unseen	low
ΞΕΡΟΥΝΕ	ΞΕΡΟΥΜΕ	0150a	1	0	suspect	low
ΚΑΘΟΔΟΥ	ΚΑΘΟΛΟΥ	0038b	0	0	unseen	low
ΡΑΚΗΣ	ΡΑΧΗΣ	0067a	0	0	unseen	low
ΠΕΡΑΣΑΝΕ	ΠΕΡΑΣΑΜΕ	0003a	0	0	unseen	low
ΣΥΝΑΔΕΛΦΕ	ΣΥΝΑΔΕΛΦΟ	0003b	0	0	unseen	low
ΕΞΑΔΕΛΦΕΣ	ΕΞΑΔΕΛΦΟΣ	0171a	0	0	unseen	low
ΑΠΕΘΕΣΕ	ΑΝΕΘΕΣΕ	0073a	0	0	unseen	low
ΤΡΟΦΟΣ	ΤΡΟΦΕΣ	0021a	1	0	suspect	low
ΑΞΕΧΑΣΤΕ	ΑΞΕΧΑΣΤΟ	0008b	0	0	unseen	low
ΣΤΕΝΕΣ	ΣΤΕΝΟΣ	0009a	1	0	suspect	low
ΔΕΥΤΕΡΗΣ	ΛΕΥΤΕΡΗΣ	0120a	0	0	unseen	low
ΕΠΟΙΚΟΔΟΜΗΤΙΚΟΣ	ΕΠΟΙΚΟΔΟΜΗΤΙΚΕΣ	0045a	0	0	unseen	low
ΚΑΤΑΠΛΗΚΤΕΣ	ΚΑΤΑΠΛΗΚΤΟΣ	0075a	0	0	unseen	low
ΕΤΗΣΙΕΣ	ΕΤΗΣΙΟΣ	0025b	0	0	unseen	low
ΡΗΜΑΤΑ	ΒΗΜΑΤΑ	0020b	1	0	suspect	low
ΣΗΜΕΡΙΝΟΣ	ΣΗΜΕΡΙΝΕΣ	0123a	0	0	unseen	low
ΝΟΜΙΜΟΣ	ΝΟΜΙΜΕΣ	0039a	0	0	unseen	low
ΔΙΑΒΑΖΑ	ΔΙΑΒΑΣΑ	0068a	0	0	unseen	low
ΑΧΑΡΑ	ΑΧΑΙΑ	0017b	0	0	unseen	low
ΙΣΧΥΡΟΣ	ΙΣΧΥΡΕΣ	0019a	0	0	unseen	low
ΣΩΣΤΕΣ	ΣΩΣΤΟΣ	0019b	1	0	suspect	low
ΔΥΣΚΟΛΟΣ	ΔΥΣΚΟΛΕΣ	0019b	1	0	suspect	low
ΧΡΗΣΙΜΟΣ	ΧΡΗΣΙΜΕΣ	0164a	0	0	unseen	low
ΜΠΟΡΕΣ	ΜΠΟΡΟΣ	0023a	0	0	unseen	low
ΠΟΤΙΣΟΥΝ	ΠΟΤΙΖΟΥΝ	0039b	0	0	unseen	low
ΓΟΝΟΙ	ΤΟΝΟΙ	0106a	1	0	suspect	low
ΑΝΕΨΙΕΣ	ΑΝΕΨΙΟΣ	0036a	0	0	unseen	low
ΝΟΝΕΣ	ΜΟΝΕΣ	0063a	0	0	unseen	low
ΦΩΤΙΣΕΙ	ΦΩΤΙΖΕΙ	0025b	0	0	unseen	low
ΩΡΑΙΟΤΑΤΟΣ	ΩΡΑΙΟΤΑΤΕΣ	0058b	0	0	unseen	low
ΤΕΛΕΥΤΑΙΟΣ	ΤΕΛΕΥΤΑΙΕΣ	0127a	0	0	unseen	low
ΔΥΣΕΙ	ΛΥΣΕΙ	0044a	1	0	suspect	low
ΔΟΥΛΕΨΟΥΝ	ΔΟΥΛΕΥΟΥΝ	0091a	0	0	unseen	low
ΣΤΑΘΗΣ	ΣΠΑΘΗΣ	0038b	0	0	unseen	low
ΛΑΚΚΟΙ	ΛΑΙΚΟΙ	0034a	0	0	unseen	low
ΛΟΦΙΑ	ΛΟΦΤΑ	0035a	0	0	unseen	low
ΙΣΤΟΡΙΚΕΣ	ΙΣΤΟΡΙΚΟΣ	0055b	0	0	unseen	low
ΔΕΥΤΕΡΕΣ	ΔΕΥΤΕΡΟΣ	0050b	1	0	suspect	low
ΜΕΛΛΟΝΤΕΣ	ΜΕΛΛΟΝΤΟΣ	0138a	0	0	unseen	low
ΡΟΥΛΑΣ	ΤΟΥΛΑΣ	0077a	0	0	unseen	low
ΠΟΥΛΑΣ	ΤΟΥΛΑΣ	0046b	0	0	unseen	low
ΕΛΑΦΙΑ	ΕΛΑΦΡΑ	0108a	0	0	unseen	low
ΑΡΠΑΖΑΝ	ΑΡΠΑΞΑΝ	0067a	0	0	unseen	low
ΝΟΝΕΣ	ΝΟΝΟΣ	0063a	0	0	unseen	low
ΑΙΟΛΟΥ	ΔΙΟΛΟΥ	0144a	0	0	unseen	low
ΑΝΤΡΟ	ΑΝΤΙΟ	0117a	0	0	unseen	low
ΑΙΩΝΕΣ	ΑΓΩΝΕΣ	0004b,0026a,0070a,0140a,0142a,0176a	0	0	unseen	low
ΑΡΙΣΤΕΣ	ΑΡΙΣΤΟΣ	0037a,0038b,0100a,0144a,0174a	1	0	suspect	low
ΚΑΛΥΤΕΡΟΣ	ΚΑΛΥΤΕΡΕΣ	0024b,0106a,0119a	1	0	suspect	low
ΧΑΡΙΣΕΙ	ΧΑΡΙΖΕΙ	0025b,0026a,0028b	2	0	suspect	low
ΟΛΟΚΛΗΡΕΣ	ΟΛΟΚΛΗΡΟΣ	0075a	0	0	unseen	low
ΑΝΤΙΜΕΤΩΠΙΣΟΥΝ	ΑΝΤΙΜΕΤΩΠΙΖΟΥΝ	0019b,0075a	0	0	unseen	low
ΔΑΣΚΑΛΕ	ΔΑΣΚΑΛΟ	0027a	1	0	suspect	low
ΧΤΗΜΑ	ΚΤΗΜΑ	0141a	0	0	unseen	low
ΚΟΙΝΩΝΙΚΟΣ	ΚΟΙΝΩΝΙΚΕΣ	0038b,0049b	1	0	suspect	low
ΡΕΜΑΤΟΣ	ΓΕΜΑΤΟΣ	0056b,0112a	0	0	unseen	low
ΚΑΚΕΣ	ΚΑΚΟΣ	0036b,0037a	0	0	unseen	low
ΑΡΧΙΤΕΚΤΟΝΕΣ	ΑΡΧΙΤΕΚΤΟΝΟΣ	0013a,0166a	0	0	unseen	low
ΕΝΤΑΣΗ	ΕΝΤΑΞΗ	0039b,0095a	0	0	unseen	low
ΜΑΙΕΥΤΙΚΗ	ΜΑΓΕΥΤΙΚΗ	0042b,0084a	0	0	unseen	low
ΠΟΛΥΑΡΙΘΜΟΣ	ΠΟΛΥΑΡΙΘΜΕΣ	0024a,0056b	0	0	unseen	low
ΔΑΣΙΚΟΣ	ΔΑΣΙΚΕΣ	0029b,0145a	3	0	suspect	low
ΠΡΟΣΕΧΗ	ΠΡΟΣΟΧΗ	0017a,0031b,0043a,0043b,0055b,0120a,0134a,0141a	3	0	suspect	low
ΛΑΚΚΟ	ΛΑΙΚΟ	0031a,0068a,0146a	0	0	unseen	low
ΓΝΩΡΙΣΟΥΝ	ΓΝΩΡΙΖΟΥΝ	0007a,0106a,0126a,0137a	4	0	suspect	low
ΤΟΝΟΥΣ	ΤΟΠΟΥΣ	0028a,0086a,0114a,0123a,0179a	0	0	unseen	low
ΔΙΟΙΚΗΤΙΚΟΣ	ΔΙΟΙΚΗΤΙΚΕΣ	0054b,0069a	1	0	suspect	low
ΖΟΥΝΕ	ΖΟΥΜΕ	0023a,0058b	0	0	unseen	low
ΑΛΗΘΙΝΕΣ	ΑΛΗΘΙΝΟΣ	0042b,0101a	0	0	unseen	low
ΕΠΙΤΡΟΠΕΣ	ΕΠΙΤΡΟΠΟΣ	0006a,0041b	0	0	unseen	low
ΓΝΩΡΙΣΑΝ	ΓΝΩΡΙΖΑΝ	0008b,0105a	1	0	suspect	low
ΕΓΓΟΝΕΣ	ΕΓΓΟΝΟΣ	0007b,0038a	0	0	unseen	low
ΤΟΜΟΥΣ	ΤΟΝΟΥΣ	0010b,0126a	0	0	unseen	low
ΒΑΣΙΚΕΣ	ΒΑΣΙΚΟΣ	0013a,0054b	0	0	unseen	low
ΠΑΡΟΥΣΙΑΣΟΥΝ	ΠΑΡΟΥΣΙΑΖΟΥΝ	0053a,0143a	2	0	suspect	low
ΓΕΡΕΣ	ΓΕΡΟΣ	0017b,0176a	2	0	suspect	low
ΚΑΘΑΡΙΣΕΙ	ΚΑΘΑΡΙΖΕΙ	0056b,0170a	1	0	suspect	low
ΣΤΑΧΤΗ	ΣΠΑΧΤΗ	0044a,0055a	1	0	suspect	low
ΚΕΡΔΙΖΕΙ	ΚΕΡΔΙΣΕΙ	0026b,0075a	2	0	suspect	low
ΦΡΟΝΤΙΣΕΙ	ΦΡΟΝΤΙΖΕΙ	0079a,0138a	1	0	suspect	low
ΧΤΗΜΑ	ΧΡΗΜΑ	0141a	0	0	unseen	low
ΣΤΟΙΧΙΣΕΙ	ΣΤΟΙΧΙΖΕΙ	0002a	0	0	unseen	low
ΘΑΥΜΑΖΟΥΝ	ΘΑΥΜΑΣΟΥΝ	0002a	0	0	unseen	low
ΓΟΝΟΙ	ΠΟΝΟΙ	0106a	1	0	suspect	low
ΣΠΟΥΔΑΣΟΥΝ	ΣΠΟΥΔΑΖΟΥΝ	0003a	1	0	suspect	low
ΒΟΛΟΥ	ΡΟΛΟΥ	0168a	0	0	unseen	low
ΕΛΛΗΝΙΚΟΣ	ΕΛΛΗΝΙΚΕΣ	0094a	1	0	suspect	low
ΤΑΚΤΙΚΕΣ	ΤΑΚΤΙΚΟΣ	0004a	1	0	suspect	low
ΓΕΥΜΑΤΟΣ	ΡΕΥΜΑΤΟΣ	0004a	0	0	unseen	low
ΡΟΥΛΑΣ	ΒΟΥΛΑΣ	0077a	0	0	unseen	low
ΠΕΣΙΜΟ	ΠΟΣΙΜΟ	0103a	0	0	unseen	low
ΦΤΙΑΓΜΕΝΕΣ	ΦΤΙΑΓΜΕΝΟΣ	0123a	0	0	unseen	low
ΡΥΘΜΙΣΕΙ	ΡΥΘΜΙΖΕΙ	0005a	1	0	suspect	low
ΤΟΣΩΝ	ΠΟΣΩΝ	0022a	0	0	unseen	low
ΚΑΘΑΡΙΣΟΥΝ	ΚΑΘΑΡΙΖΟΥΝ	0172a	0	0	unseen	low
ΑΝΕΜΕΙΝΕ	ΑΠΕΜΕΙΝΕ	0037a	0	0	unseen	low
ΜΙΚΡΟΤΕΡΟΣ	ΜΙΚΡΟΤΕΡΕΣ	0030a	1	0	suspect	low
ΑΝΤΙΚΡΙΣΕΙΣ	ΑΝΤΙΚΡΙΖΕΙΣ	0131a	0	0	unseen	low
ΓΥΡΙΣΟΥΝ	ΓΥΡΙΖΟΥΝ	0008a	0	0	unseen	low
ΕΝΤΟΝΟΣ	ΕΝΤΟΝΕΣ	0136a	0	0	unseen	low
ΠΙΑΤΑ	ΝΙΑΤΑ	0095a	1	0	suspect	low
ΑΣΤΡΟ	ΑΣΠΡΟ	0074a	0	0	unseen	low
ΧΑΝΙΑ	ΧΑΠΙΑ	0009b	1	0	suspect	low
ΚΟΥΡΕΣ	ΚΟΥΡΟΣ	0044a	0	0	unseen	low
ΓΥΡΙΖΕΙ	ΓΥΡΙΣΕΙ	0050b	1	0	suspect	low
ΕΤΟΙΜΕΣ	ΕΤΟΙΜΟΣ	0064a	0	0	unseen	low
ΕΣΩΤΕΡΙΚΟΣ	ΕΣΩΤΕΡΙΚΕΣ	0036b	0	0	unseen	low
ΕΞΩΤΕΡΙΚΕΣ	ΕΣΩΤΕΡΙΚΕΣ	0066a	0	0	unseen	low
ΠΟΣΟΣ	ΠΟΣΕΣ	0108a	1	0	suspect	low
ΓΙΟΡΤΑΣΕΙ	ΓΙΟΡΤΑΖΕΙ	0037a	1	0	suspect	low
ΠΕΝΝΑ	ΓΕΝΝΑ	0018b	1	0	suspect	low
ΟΓΚΟΥ	ΟΙΚΟΥ	0065a	0	0	unseen	low
ΚΑΜΕΤΕ	ΚΑΝΕΤΕ	0142a	0	0	unseen	low
ΣΩΖΟΥΝ	ΣΩΣΟΥΝ	0035b	1	0	suspect	low
ΑΠΑΝΤΗΣΟΥΝΕ	ΑΠΑΝΤΗΣΟΥΜΕ	0089a	0	0	unseen	low
ΓΝΩΡΙΖΕ	ΓΝΩΡΙΣΕ	0024b	0	0	unseen	low
ΤΗΛΕΦΩΝΙΚΟΣ	ΤΗΛΕΦΩΝΙΚΕΣ	0109a	0	0	unseen	low
ΣΙΓΗΣ	ΣΙΤΗΣ	0102a	0	0	unseen	low
ΔΙΑΒΑΣΟΥΜΕ	ΔΙΑΒΑΖΟΥΜΕ	0162a	0	0	unseen	low
ΑΧΤΙΝΕΣ	ΑΚΤΙΝΕΣ	0141a	0	0	unseen	low
ΣΠΑΡΤΙΑΤΙΚΕΣ	ΣΠΑΡΤΙΑΤΙΚΟΣ	0176a	1	0	suspect	low
ΑΣΤΕΡΑ	ΑΣΤΕΙΑ	0028b	0	0	unseen	low
ΑΓΡΟΣ	ΑΤΡΟΣ	0028b	0	0	unseen	low
ΚΟΥΤΟΣ	ΚΟΥΡΟΣ	0028b	0	0	unseen	low
ΕΠΑΓΓΕΛΜΑΤΙΚΟΣ	ΕΠΑΓΓΕΛΜΑΤΙΚΕΣ	0036b	0	0	unseen	low
ΑΝΩΜΑΛΕΣ	ΑΝΩΜΑΛΟΣ	0137a	0	0	unseen	low
ΚΡΗΤΙΚΕΣ	ΚΡΗΤΙΚΟΣ	0171a	1	0	suspect	low
ΟΡΘΡΟΙ	ΟΡΘΙΟΙ	0094a	0	0	unseen	low
ΕΛΕΥΘΕΡΕΣ	ΕΛΕΥΘΕΡΟΣ	0099a	0	0	unseen	low
ΚΛΕΙΣΜΕΝΕΣ	ΚΛΕΙΣΜΕΝΟΣ	0099a	0	0	unseen	low
ΣΤΗΡΙΞΕΙ	ΣΤΗΡΙΖΕΙ	0033a	0	0	unseen	low
ΞΕΧΑΣΜΕΝΟΣ	ΞΕΧΑΣΜΕΝΕΣ	0034a	0	0	unseen	low
ΡΙΓΕΣ	ΡΙΓΟΣ	0044b	0	0	unseen	low
ΠΑΙΡΝΟΥΝΕ	ΠΑΙΡΝΟΥΜΕ	0150a	1	0	suspect	low
ΣΚΟΙΝΙ	ΣΧΟΙΝΙ	0110a	1	0	suspect	low
ΣΤΗΡΙΞΟΥΝ	ΣΤΗΡΙΖΟΥΝ	0036a	0	0	unseen	low
ΦΥΓΑΝΕ	ΦΥΓΑΜΕ	0044a	0	0	unseen	low
ΜΕΙΝΑΝΕ	ΜΕΙΝΑΜΕ	0110a	0	0	unseen	low
ΒΑΖΕΙ	ΒΑΣΕΙ	0068a	0	0	unseen	low
ΦΩΤΙΟΣ	ΦΩΤΙΕΣ	0118a	1	0	suspect	low
ΚΟΥΡΑ	ΚΟΥΒΑ	0090a	1	0	suspect	low
ΚΟΚΚΙΝΟΣ	ΚΟΚΚΙΝΕΣ	0053a	0	0	unseen	low
ΕΛΑΙΟ	ΕΛΑΤΟ	0139a	0	0	unseen	low
ΛΙΘΟΚΤΙΣΤΟ	ΛΙΘΟΧΤΙΣΤΟ	0055a	0	0	unseen	low
ΝΑΞΟΣ	ΝΑΣΟΣ	0059a	0	0	unseen	low
ΑΔΙΚΗ	ΑΛΙΚΗ	0153a	0	0	unseen	low
ΚΑΜΕΝΑ	ΧΑΜΕΝΑ	0120a	0	0	unseen	low
ΕΥΘΥΜΕΣ	ΕΥΘΥΜΟΣ	0161a	0	0	unseen	low
ΠΕΤΣΙ	ΠΕΡΣΙ	0082a	1	0	suspect	low
ΧΤΙΣΜΑΤΟΣ	ΚΤΙΣΜΑΤΟΣ	0083a	0	0	unseen	low
ΒΕΑΤΡΙΚΗ	ΘΕΑΤΡΙΚΗ	0141a	0	0	unseen	low
ΙΔΙΕΣ	ΙΔΙΟΣ	0015a,0019b,0041b,0042a,0054b,0075a,0088a,0136a,0175a	1	0	suspect	low
ΜΗΝΟΣ	ΜΗΝΕΣ	0007b,0033a,0041b,0045b,0047b,0076a,0087a,0089a,0091a,0149a	2	0	suspect	low
ΠΗΓΑΝ	ΠΗΡΑΝ	0015b,0021a,0051a,0053a,0094a,0137a	1	0	suspect	low
ΑΓΩΝΙΑ	ΑΙΩΝΙΑ	0013a,0023a,0035b,0064a,0075a,0117a	0	0	unseen	low
ΕΞΟΔΩΝ	ΕΣΟΔΩΝ	0013b,0032b,0104a,0134a	2	0	suspect	low
ΚΑΤΟΥ	ΚΑΠΟΥ	0046a,0074a,0130a,0148a	4	0	suspect	low
ΠΙΣΤΕΨΕΙ	ΠΙΣΤΕΥΕΙ	0002a,0087a,0107a	0	0	unseen	low
ΑΙΩΝΑ	ΑΓΩΝΑ	0019a,0032b,0036a,0045a,0052a,0097a,0099a,0100a,0102a,0117a,0127a	5	0	suspect	low
ΑΔΕΛΦΕΣ	ΑΔΕΛΦΟΣ	0005b,0021a,0074a,0092a,0148a,0152a	0	0	unseen	low
ΧΡΙΣΤΕ	ΧΡΙΣΤΟ	0004b,0025a,0094a	2	0	suspect	low
ΤΟΠΙΚΟΣ	ΤΟΠΙΚΕΣ	0039a,0049b	1	0	suspect	low
ΕΦΗΜΕΡΙΔΟΣ	ΕΦΗΜΕΡΙΔΕΣ	0006a,0045b,0085a,0092a,0120a,0134a,0149a,0153a	0	0	unseen	low
ΜΑΤΙΝΑ	ΜΑΡΙΝΑ	0023a,0069a,0111a,0115a,0158a	2	0	suspect	low
ΔΟΥΚΑΣ	ΛΟΥΚΑΣ	0048a,0054a,0140a,0142a	2	0	suspect	low
ΓΕΝΙΚΕΣ	ΓΕΝΙΚΟΣ	0005a,0035a,0036a,0073a	4	0	suspect	low
ΕΚΑΤΟΝ	ΕΚΑΤΟΜ	0005a,0039b,0147a	1	0	suspect	low
ΕΞΕΤΑΖΕΙ	ΕΞΕΤΑΣΕΙ	0003a,0009a	0	0	unseen	low
ΟΛΟΥΧΑ	ΟΔΟΥΧΑ	0035b,0100a	0	0	unseen	low
ΕΡΓΑΖΟΜΕΝΕΣ	ΕΡΓΑΖΟΜΕΝΟΣ	0032b,0098a	0	0	unseen	low
ΤΡΑΠΕΖΙΚΕΣ	ΤΡΑΠΕΖΙΚΟΣ	0019a,0045b	0	0	unseen	low
ΔΙΑΚΟΥ	ΔΡΑΚΟΥ	0007b,0114a	0	0	unseen	low
ΣΤΟΛΙΣΕΙ	ΣΤΟΛΙΖΕΙ	0109a,0124a	0	0	unseen	low
ΨΥΧΡΑΝΗΣ	ΨΥΧΡΑΜΗΣ	0009a,0043b	1	0	suspect	low
ΜΟΡΙΑ	ΜΕΡΙΑ	0085a	1	0	suspect	low
ΕΝΔΕΙΑ	ΕΝΔΕΚΑ	0094a,0102a	0	0	unseen	low
ΦΡΟΝΤΙΣΟΥΝ	ΦΡΟΝΤΙΖΟΥΝ	0072a,0155a	1	0	suspect	low
ΔΩΣΑΝΕ	ΔΩΣΑΜΕ	0022a,0025a	1	0	suspect	low
ΑΝΟΙΧΤΟΣ	ΑΝΟΙΧΤΕΣ	0028b,0124a	0	0	unseen	low
ΙΔΙΩΤΙΚΟΣ	ΙΔΙΩΤΙΚΕΣ	0036a,0084a	0	0	unseen	low
ΖΗΡΟΚΑΜΠΙΟΥ	ΞΗΡΟΚΑΜΠΙΟΥ	0036a	0	0	unseen	low
ΠΑΙΞΕΙ	ΠΑΙΖΕΙ	0068a,0122a	1	0	suspect	low
ΛΑΚΚΩΝ	ΛΑΙΚΩΝ	0067a,0104a	0	0	unseen	low
ΟΙΚΟΝΟΜΙΚΟΣ	ΟΙΚΟΝΟΜΙΚΕΣ	0008b,0015a,0019b,0039b,0054b,0069a	0	0	unseen	low
ΠΑΡΟΝΤΕΣ	ΠΑΡΟΝΤΟΣ	0007a,0007b,0131a	1	0	suspect	low
ΠΑΡΑΣΚΕΙΚΑ	ΠΑΡΑΣΧΕΙΚΑ	0109a,0123a,0124a	1	0	suspect	low
ΑΟΥΛΟ	ΛΟΥΛΟ		0	0	unseen	low
ΒΓΗΚΕ	ΒΡΗΚΕ	0003b,0049a,0054a,0114a,0118a	1	0	suspect	low
ΝΟΝΟΣ	ΠΟΝΟΣ	0061a,0070a,0089a,0091a	4	0	suspect	low
ΠΕΤΡΟΣ	ΠΕΤΡΕΣ	0042a,0042b,0052a,0055a,0070a,0114a	6	0	suspect	low
ΣΥΝΕΧΙΖΕΙ	ΣΥΝΕΧΙΣΕΙ	0006b,0012b,0023a,0024a,0027a,0042a,0045b,0079a,0085a	4	0	suspect	low
ΜΕΓΑΛΥΤΕΡΟΣ	ΜΕΓΑΛΥΤΕΡΕΣ	0018a,0030a,0031a,0053a	3	0	suspect	low
ΠΝΕΥΜΑΤΙΚΟΣ	ΠΝΕΥΜΑΤΙΚΕΣ	0017b,0055b,0111a	0	0	unseen	low
ΚΟΙΝΟΤΙΚΟΣ	ΚΟΙΝΟΤΙΚΕΣ	0020b,0037a,0046a	0	0	unseen	low
ΓΝΩΡΙΣΩ	ΓΝΩΡΙΖΩ	0024a,0090a	3	0	suspect	low
ΙΕΡΟΣ	ΓΕΡΟΣ	0077a,0114a,0174a	0	0	unseen	low
ΞΕΝΕΣ	ΞΕΝΟΣ	0030b,0035b,0106a	2	0	suspect	low
ΜΙΧΟΥ	ΜΙΚΟΥ	0133a,0159a	1	0	suspect	low
ΑΞΙΟΛΟΓΟΣ	ΑΞΙΟΛΟΓΕΣ	0027a,0031a	0	0	unseen	low
ΠΕΛΑΓΗ	ΠΕΛΑΤΗ	0070a	0	0	unseen	low
ΖΗΤΑΜΕ	ΖΗΤΑΝΕ	0068a,0153a	1	0	suspect	low
ΠΟΥΡΓΟ	ΠΟΥΡΓΕ	0012b	2	0	suspect	low
ΠΑΝΤΑΞΕΛΑΣ	ΠΑΝΤΑΖΕΛΑΣ	0142a	0	0	unseen	low
ΚΑΡΑΛΟΜΗΣ	ΚΑΡΑΛΕΜΗΣ	0042a	0	0	unseen	low
ΟΥΣΙΕΣ	ΘΥΣΙΕΣ	0032b,0137a	0	0	unseen	low
ΑΝΩΤΑΤΟΣ	ΑΝΩΤΑΤΕΣ	0032a,0054a	0	0	unseen	low
ΒΑΓΙΑ	ΒΑΡΙΑ	0069a,0154a	0	0	unseen	low
ΔΕΔΟΥΡΗΣ	ΔΕΔΟΥΤΗΣ	0009a,0032b	0	0	unseen	low
ΕΛΑΤΩΝ	ΕΛΑΙΩΝ	0054b,0149a	0	0	unseen	low
ΑΛΕΥΡΗΣ	ΑΛΕΥΤΗΣ	0032b,0097a	0	0	unseen	low
ΠΑΝΤΑΖΑΣ	ΠΑΝΤΑΞΑΣ	0002a	0	0	unseen	low
ΦΤΙΑΧΝΟΥΝΕ	ΦΤΙΑΧΝΟΥΜΕ	0089a	1	0	suspect	low
ΔΡΑΚΙΑ	ΔΡΑΧΙΑ	0003a	0	0	unseen	low
ΕΠΙΖΗΜΙΟΣ	ΕΠΙΖΗΜΙΕΣ	0036b	0	0	unseen	low
ΖΩΤΙΚΕΣ	ΖΩΤΙΚΟΣ	0004a	1	0	suspect	low
ΕΞΟΧΟΣ	ΕΞΟΧΕΣ	0004a	0	0	unseen	low
ΥΠΕΡΗΦΑΝΕΣ	ΥΠΕΡΗΦΑΝΟΣ	0068a	0	0	unseen	low
ΚΑΤΑΚΛΥΖΕΙ	ΚΑΤΑΚΛΥΣΕΙ	0087a	1	0	suspect	low
ΠΡΟΕΤΟΙΜΑΣΕΙ	ΠΡΟΕΤΟΙΜΑΖΕΙ	0031b	0	0	unseen	low
ΜΕΓΑΛΟΠΡΕΠΟΣ	ΜΕΓΑΛΟΠΡΕΠΕΣ	0004b	0	0	unseen	low
ΑΠΕΡΑΝΤΕΣ	ΑΠΕΡΑΝΤΟΣ	0016b	0	0	unseen	low
ΚΑΤΑΠΡΑΣΙΝΕΣ	ΚΑΤΑΠΡΑΣΙΝΟΣ	0004b	1	0	suspect	low
ΣΠΑΡΤΙΑΤΕΠΟΥΛΑ	ΣΠΑΡΤΙΑΤΟΠΟΥΛΑ	0053a	1	0	suspect	low
ΠΕΡΙΟΡΙΣΕΙ	ΠΕΡΙΟΡΙΖΕΙ	0054b	0	0	unseen	low
ΠΕΡΙΦΗΜΟΣ	ΠΕΡΙΦΗΜΕΣ	0048a	0	0	unseen	low
ΔΙΑΣΚΕΔΑΣΕΙ	ΔΙΑΣΚΕΔΑΖΕΙ	0005a	1	0	suspect	low
ΚΕΡΔΙΖΕ	ΚΕΡΔΙΣΕ	0005a	1	0	suspect	low
ΠΙΤΣΑΣ	ΝΙΤΣΑΣ	0037a	0	0	unseen	low
