stem	token	count	confirm_as_name
ΖΑΔΡΑ	ΖΑΔΡΑΣ	3	
ΖΑΦΕΙ	ΖΑΦΕΙΡΟΠΟΥΛΟΥ	3	
ΖΑΧΑΡ	ΖΑΧΑΡΙΚΗΣ	6	
ΖΙΑΒΡ	ΖΙΑΒΡΑ	7	
ΖΙΩΤΗ	ΖΙΩΤΗ	6	
ΖΙΩΤΗ	ΖΙΩΤΗΣ	4	
ΗΛΕΚΤ	ΗΛΕΚΤΡΑΓΟΡΑ	4	
ΗΛΙΑΔ	ΗΛΙΑΔΟΥ	8	
ΗΛΙΑΝ	ΗΛΙΑΝ	4	
ΗΜΕΡΙ	ΗΜΕΡΙΑ	4	
ΗΣΥΛΑ	ΗΣΥΛΑΝΑ	4	
ΗΣΧΟΛ	ΗΣΧΟΛΗΘΗ	3	
ΘΑΝΑΣ	ΘΑΝΑΣΙΟΥ	9	
ΘΑΝΑΣ	ΘΑΝΑΣΙΟΣ	6	
ΘΑΝΑΣ	ΘΑΝΑΣΟΠΟΥΛΟΥ	3	
ΘΑΠΡΕ	ΘΑΠΡΕΠΕ	3	
ΘΕΙΑΝ	ΘΕΙΑΝ	4	
ΘΕΟΔ	ΘΕΟΔ	22	
ΘΕΟΔΩ	ΘΕΟΔΩΡΟΝ	3	
ΘΕΟΝ	ΘΕΟΝ	8	
ΘΕΟΣΩ	ΘΕΟΣΩΣΤΟΥ	3	
ΘΕΟΦΙ	ΘΕΟΦΙΛΟΠΟΥΛΟΥ	8	
ΘΕΟΦΙ	ΘΕΟΦΙΛΟΠΟΥΛΟΣ	6	
ΘΕΟΧΑ	ΘΕΟΧΑΡΗ	4	
ΘΕΡΜ	ΘΕΡΜ	22	
ΘΗΝΑ	ΘΗΝΑ	30	
ΘΗΝΑΙ	ΘΗΝΑΙ	17	
ΘΗΝΑΣ	ΘΗΝΑΣ	12	
ΘΝΙΚ	ΘΝΙΚ	9	
ΘΥΓΑΤ	ΘΥΓΑΤΡΟΣ	5	
ΙΔΙΟΚ	ΙΔΙΟΚΤ	5	
ΙΕΡΟΚ	ΙΕΡΟΚΗΡΥΚΟΣ	5	
ΙΩΑΝ	ΙΩΑΝ	111	
ΙΩΑΝΝ	ΙΩΑΝΝΗΝ	4	
ΚΑΒΑΔ	ΚΑΒΑΔΙΑ	3	
ΚΑΔΕΛ	ΚΑΔΕΛΑΡΗ	3	
ΚΑΔΚΥ	ΚΑΔΚΥ	8	
ΚΑΙΜΠ	ΚΑΙΜΠΡΙΤΖ	3	
ΚΑΙΡ	ΚΑΙΡ	4	
ΚΑΙΤΗ	ΚΑΙΤΗ	15	
ΚΑΛΑΒ	ΚΑΛΑΒΡΥΤΙΝΟΣ	17	
ΚΑΛΑΒ	ΚΑΛΑΒΡΥΤΙΝΟΥ	11	
ΚΑΛΑΔ	ΚΑΛΑΔΡΥΤΙΝΟΣ	15	
ΚΑΛΑΔ	ΚΑΛΑΔΡΙΤΙΝΟΣ	3	
ΚΑΛΑΔ	ΚΑΛΑΔΡΥΤΙΚΟΣ	3	
ΚΑΛΑΔ	ΚΑΛΑΔΡΥΤΙΝΟΥ	3	
ΚΑΛΑΝ	ΚΑΛΑΝΤΖΗΣ	11	
ΚΑΛΑΝ	ΚΑΛΑΝΤΖΗ	5	
ΚΑΛΑΝ	ΚΑΛΑΝΔΡΙ	3	
ΚΑΛΑΤ	ΚΑΛΑΤΖΗΣ	14	
ΚΑΛΑΤ	ΚΑΛΑΤΖΗ	8	
ΚΑΛΛΙ	ΚΑΛΛΙΑΝΗΣ	22	
ΚΑΛΛΙ	ΚΑΛΛΙΜΟΠΟΥΛΟΣ	15	
ΚΑΛΛΙ	ΚΑΛΛΙΑΝΗ	13	
ΚΑΛΟΒ	ΚΑΛΟΒΑΣ	4	
ΚΑΛΟΔ	ΚΑΛΟΔΑΣ	4	
ΚΑΛΥΔ	ΚΑΛΥΔΑΣ	21	
ΚΑΛΥΔ	ΚΑΛΥΔΑ	10	
ΚΑΛΩΣ	ΚΑΛΩΣΥΝΗ	10	
ΚΑΜΜΙ	ΚΑΜΜΙΑ	4	
ΚΑΜΝΕ	ΚΑΜΝΕΤΕ	3	
ΚΑΜΠΑ	ΚΑΜΠΑΡΗ	5	
ΚΑΜΠΕ	ΚΑΜΠΕΡΗΣ	11	
ΚΑΜΠΕ	ΚΑΜΠΕΡΗ	8	
ΚΑΝΑΔ	ΚΑΝΑΔ	4	
ΚΑΝΟΠ	ΚΑΝΟΠΟΙΗΣΗ	4	
ΚΑΠΑΡ	ΚΑΠΑΡΙ	3	
ΚΑΠΟΔ	ΚΑΠΟΔΙΣΤΡΙΟΥ	4	
ΚΑΡΑΒ	ΚΑΡΑΒΟΥΛΙΑΣ	17	
ΚΑΡΑΒ	ΚΑΡΑΒΟΥΛΙΑ	13	
ΚΑΡΑΒ	ΚΑΡΑΒΑ	11	
ΚΑΡΑΒ	ΚΑΡΑΒΟΓΛΙΑΣ	3	
ΚΑΡΑΒ	ΚΑΡΑΒΟΓΛΙΑ	3	
ΚΑΡΑΓ	ΚΑΡΑΓΙΑΝΝΗΣ	48	
ΚΑΡΑΓ	ΚΑΡΑΓΙΑΝΝΙΝΑΣ	3	
ΚΑΡΑΔ	ΚΑΡΑΔΑ	5	
ΚΑΡΑΔ	ΚΑΡΑΔΟΥΛΙΑΣ	3	
ΚΑΡΑΛ	ΚΑΡΑΛΕΜΑΣ	18	
ΚΑΡΑΛ	ΚΑΡΑΛΕΜΑ	8	
ΚΑΡΑΛ	ΚΑΡΑΛΑΜΑ	6	
ΚΑΡΑΛ	ΚΑΡΑΛΕΜΩΝ	6	
ΚΑΡΑΛ	ΚΑΡΑΛΑΜΩΝ	5	
ΚΑΡΑΛ	ΚΑΡΑΛΕΜΗΣ	4	
ΚΑΡΑΛ	ΚΑΡΑΛΑΜΠΗ	3	
ΚΑΡΑΛ	ΚΑΡΑΛΕΚΑΣ	3	
ΚΑΡΑΛ	ΚΑΡΑΛΑΙΜΑΣ	3	
ΚΑΡΑΛ	ΚΑΡΑΛΟΜΑΣ	3	
ΚΑΡΑΛ	ΚΑΡΑΛΑΜΑΝ	3	
ΚΑΡΑΛ	ΚΑΡΑΛΑΙΜΑ	3	
ΚΑΡΑΜ	ΚΑΡΑΜΠΕΛΑΣ	7	
ΚΑΡΑΜ	ΚΑΡΑΜΕΙΝΗΣ	3	
ΚΑΡΑΝ	ΚΑΡΑΝΤΖΗ	3	
ΚΑΡΒΑ	ΚΑΡΒΑΡΗ	6	
ΚΑΡΒΟ	ΚΑΡΒΟΥΝΟΡΕΜΑ	11	
ΚΑΡΒΟ	ΚΑΡΒΟΥΝΗ	9	
ΚΑΡΓΙ	ΚΑΡΓΙΑΝΝΗ	4	
ΚΑΡΔΑ	ΚΑΡΔΑΡΗ	7	
ΚΑΡΔΑ	ΚΑΡΔΑΡΗΣ	3	
ΚΑΡΔΙ	ΚΑΡΔΙΑΝ	3	
ΚΑΡΔΟ	ΚΑΡΔΟΥΝΗ	13	
ΚΑΡΔΟ	ΚΑΡΔΟΥΝΗΣ	11	
ΚΑΡΔΟ	ΚΑΡΔΟΥΝΟΡΕΜΑ	6	
ΚΑΡΔΩ	ΚΑΡΔΩΝΗ	3	
ΚΑΡΚΟ	ΚΑΡΚΟΥΛΗ	3	
ΚΑΡΤΑ	ΚΑΡΤΑΛΗ	5	
ΚΑΣΤΑ	ΚΑΣΤΑΡΙ	8	
ΚΑΣΤΑ	ΚΑΣΤΑΝΕΩΝΑ	7	
ΚΑΣΤΑ	ΚΑΣΤΑΝΟΚΑΛΛΙΕΡΓΕΙΑ	6	
ΚΑΣΤΑ	ΚΑΣΤΑΝΕΔΕΝΤΡΩΝ	3	
ΚΑΣΤΕ	ΚΑΣΤΕΡΙ	19	
ΚΑΣΤΙ	ΚΑΣΤΙΡΙ	3	
ΚΑΣΤΟ	ΚΑΣΤΟΡΕΙΟΥ	29	
ΚΑΣΤΟ	ΚΑΣΤΟΡΙΟ	5	
ΚΑΣΤΟ	ΚΑΣΤΟΡΕΙΟ	3	
ΚΑΤΑΒ	ΚΑΤΑΒΟΛ	3	
ΚΑΤΑΠ	ΚΑΤΑΠΙΝ	3	
ΚΑΤΑΣ	ΚΑΤΑΣΚΕΥ	6	
ΚΑΤΑΣ	ΚΑΤΑΣΡΟΣ	4	
ΚΑΤΑΣ	ΚΑΤΑΣΤΡΟΦ	3	
ΚΑΤΕ	ΚΑΤΕ	7	
ΚΑΤΕΕ	ΚΑΤΕΕ	3	
ΚΑΤΟΝ	ΚΑΤΟΝΤΑΔΕΣ	3	
ΚΑΤΣΗ	ΚΑΤΣΗΣ	3	
ΚΑΤΣΟ	ΚΑΤΣΟΥ	33	
ΚΑΤΣΟ	ΚΑΤΣΟΣ	26	
ΚΑΤΣΟ	ΚΑΤΣΟ	4	
ΚΑΦΕΝ	ΚΑΦΕΝΤΖΗ	11	
ΚΑΦΕΝ	ΚΑΦΕΝΤΖΗΣ	8	
ΚΔΟΣΗ	ΚΔΟΣΗ	6	
ΚΕΕΜ	ΚΕΕΜ	17	
ΚΕΙΟΥ	ΚΕΙΟΥΣ	9	
ΚΕΛΕΣ	ΚΕΛΕΣΙΔΗΣ	9	
ΚΕΡΑΜ	ΚΕΡΑΜΟΣΚΕΠΗ	4	
ΚΕΡΑΣ	ΚΕΡΑΣΟΠΟΥΛΟΥ	6	
ΚΕΡΑΤ	ΚΕΡΑΤΣΙ	8	
ΚΕΤΕ	ΚΕΤΕ	6	
ΚΙΘΩΤ	ΚΙΘΩΤΙΔΙΟ	3	
ΚΙΟΥΜ	ΚΙΟΥΜΟΥΡΤΖΑΚΗ	6	
ΚΚΛΗΣ	ΚΚΛΗΣΙΑ	7	
ΚΚΛΗΣ	ΚΚΛΗΣΙΑΣ	5	
ΚΚΛΗΣ	ΚΚΛΗΣΙ	5	
ΚΚΛΗΣ	ΚΚΛΗΣΙΑΣΜΑ	5	
ΚΚΛΗΣ	ΚΚΛΗΣΑΚΙ	3	
ΚΛΑΙΡ	ΚΛΑΙΡΗ	4	
ΚΛΕΚΤ	ΚΛΕΚΤ	4	
ΚΛΗΡΟ	ΚΛΗΡΟΝ	5	
ΚΛΗΡΟ	ΚΛΗΡΟΝΟΜΙΚ	3	
ΚΛΟΥΤ	ΚΛΟΥΤΣΟΥΝΗΣ	5	
ΚΜΕΤΑ	ΚΜΕΤΑΛΛΕΥΣΗ	3	
ΚΟΓΕΝ	ΚΟΓΕΝΕΙΑ	6	
ΚΟΙΝ	ΚΟΙΝ	20	
ΚΟΙΝΟ	ΚΟΙΝΟΤ	3	
ΚΟΙΝΟ	ΚΟΙΝΟΤΙΚ	3	
ΚΟΙΝΩ	ΚΟΙΝΩΝΙΚ	6	
ΚΟΙΝΩ	ΚΟΙΝΩΝΙΑΝ	3	
ΚΟΙΝΩ	ΚΟΙΝΩΝΙΚΗΝ	3	
ΚΟΚΚΑ	ΚΟΚΚΑΛΑ	3	
ΚΟΛΛΙ	ΚΟΛΛΙΝΙΑΤΗΣ	7	
ΚΟΛΛΙ	ΚΟΛΛΙΝΙΑΤΗ	5	
ΚΟΛΟΓ	ΚΟΛΟΓΙΑΝΝΗΣ	3	
ΚΟΛΟΥ	ΚΟΛΟΥΘΩΣ	4	
ΚΟΜΑ	ΚΟΜΑ	14	
ΚΟΝΑ	ΚΟΝΑ	6	
ΚΟΝΙΔ	ΚΟΝΙΔΙΤΣΑ	3	
ΚΟΝΙΔ	ΚΟΝΙΔΙΤΣΑΣ	3	
ΚΟΝΟΜ	ΚΟΝΟΜΙΚ	11	
ΚΟΡΕΤ	ΚΟΡΕΤΣΑΚΙ	7	
ΚΟΡΖΗ	ΚΟΡΖΗΣ	13	
ΚΟΡΖΗ	ΚΟΡΖΗ	7	
ΚΟΡΙΑ	ΚΟΡΙΑΣ	4	
ΚΟΡΙΝ	ΚΟΡΙΝΗ	5	
ΚΟΡΣΗ	ΚΟΡΣΗΣ	7	
ΚΟΡΤΖ	ΚΟΡΤΖΗΣ	3	
ΚΟΤΡΩ	ΚΟΤΡΩΝΙΑ	6	
ΚΟΤΣΟ	ΚΟΤΣΟΒΟΛΟΣ	8	
ΚΟΥΓΕ	ΚΟΥΓΕΤΑΙ	3	
ΚΟΥΜΠ	ΚΟΥΜΠΑΡΟΠΟΥΛΟ	4	
ΚΟΥΝΤ	ΚΟΥΝΤΟΥΡΑ	4	
ΚΟΥΡΑ	ΚΟΥΡΑΜΠΗ	7	
ΚΟΥΡΕ	ΚΟΥΡΕΜΠΗΣ	23	
ΚΟΥΡΕ	ΚΟΥΡΕΜΠΗ	9	
ΚΟΥΡΗ	ΚΟΥΡΗ	3	
ΚΟΥΤΣ	ΚΟΥΤΣΟΠΟΥΛΟΥ	12	
ΚΟΥΤΣ	ΚΟΥΤΣΑΡΗ	11	
ΚΟΥΤΣ	ΚΟΥΤΣΟΥΜΠΑΣ	3	
ΚΟΦΙΑ	ΚΟΦΙΑΣ	8	
ΚΟΦΙΑ	ΚΟΦΙΑ	3	
ΚΠΑΙΔ	ΚΠΑΙΔΕΥΣΗ	7	
ΚΠΡΟΣ	ΚΠΡΟΣΩΠΟΣ	3	
ΚΡΑΤΟ	ΚΡΑΤΟ	3	
ΚΡΙΒ	ΚΡΙΒ	4	
ΚΡΟΚΕ	ΚΡΟΚΕΩΝ	4	
ΚΤΑΣΗ	ΚΤΑΣΗ	3	
ΚΤΟΣ	ΚΤΟΣ	4	
ΚΥΡΙΑ	ΚΥΡΙΑΚΗΝ	4	
ΚΥΡΙΩ	ΚΥΡΙΩ	3	
ΚΩΝΣΤ	ΚΩΝΣΤ	11	
ΚΩΝΣΤ	ΚΩΝΣΤΑΝΤΙΝΑΚΟΥ	4	
ΚΩΝΣΤ	ΚΩΝΣΤΑΝΤΗ	4	
ΚΩΝΣΤ	ΚΩΝΣΤΑΝΤ	3	
ΚΩΝΣΤ	ΚΩΝΣΤΑΝΤΙΝΟΝ	3	
ΚΩΣΤΟ	ΚΩΣΤΟΚΑΝΕΛΛΗΣ	15	
ΚΩΣΤΟ	ΚΩΣΤΟΚΑΝΕΛΛΗ	10	
ΚΩΤΣΟ	ΚΩΤΣΟΒΟΛΟΣ	8	
ΛΑΓΓΑ	ΛΑΓΓΑΝΙΚΟΥ	5	
ΛΑΓΓΑ	ΛΑΓΓΑΝΙΚΟ	4	
ΛΑΓΙΑ	ΛΑΓΙΑΝΑΚΙ	7	
ΛΑΓΚΑ	ΛΑΓΚΑΔΙΑΝΟΙ	4	
ΛΑΖΑΡ	ΛΑΖΑΡΗΣ	3	
ΛΑΙΟΛ	ΛΑΙΟΛΑΔΟΥ	4	
ΛΑΚΑΔ	ΛΑΚΑΔΑΙΜΟΝΙΩΝ	3	
ΛΑΚΚΟ	ΛΑΚΚΟΥΔΕΣ	4	
ΛΑΚΟΥ	ΛΑΚΟΥΡΓΟΥ	5	
ΛΑΚΩΝ	ΛΑΚΩΝΩΝ	10	
ΛΑΚΩΝ	ΛΑΚΩΝΑΣ	5	
ΛΑΚΩΝ	ΛΑΚΩΝΟΣ	5	
ΛΑΚΩΝ	ΛΑΚΩΝΑ	3	
ΛΑΚΩΝ	ΛΑΚΩΝΙΚ	3	
ΛΑΜΠΡ	ΛΑΜΠΡΑΚΟΥ	7	
ΛΑΤΑ	ΛΑΤΑ	5	
ΛΕΓΓΑ	ΛΕΓΓΑΝΙΚΟ	6	
ΛΕΓΟΣ	ΛΕΓΟΣ	16	
ΛΕΙΒΑ	ΛΕΙΒΑΔΙΑ	3	
ΛΕΝΗ	ΛΕΝΗ	4	
ΛΕΟΝΤ	ΛΕΟΝΤΑΡΙΤΗΣ	4	
ΛΕΟΝΤ	ΛΕΟΝΤΙΟΥ	3	
ΛΕΥΡΟ	ΛΕΥΡΟ	5	
ΛΕΩΝΙ	ΛΕΩΝΙΔΟΥ	4	
ΛΗΘΕΙ	ΛΗΘΕΙΑ	4	
ΛΙΑΠΗ	ΛΙΑΠΗ	3	
ΛΙΑΣ	ΛΙΑΣ	14	
ΛΙΔΙΩ	ΛΙΔΙΩΝ	3	
ΛΙΕΣ	ΛΙΕΣ	5	
ΛΙΚΙΑ	ΛΙΚΙΑ	3	
ΛΙΝΑΡ	ΛΙΝΑΡΔΑΚΗ	6	
ΛΙΝΑΡ	ΛΙΝΑΡΔΑΚΗΣ	5	
ΛΙΟΣ	ΛΙΟΣ	5	
ΛΙΟΥ	ΛΙΟΥ	5	
ΛΛΑΔΑ	ΛΛΑΔΑ	10	
ΛΛΑΔΑ	ΛΛΑΔΑΣ	3	
ΛΛΑΔΟ	ΛΛΑΔΟΣ	5	
ΛΛΕΣ	ΛΛΕΣ	5	
ΛΛΗΝΕ	ΛΛΗΝΕΣ	5	
ΛΛΗΝΙ	ΛΛΗΝΙΚ	10	
ΛΛΗΝΩ	ΛΛΗΝΩΝ	4	
ΛΛΟΙ	ΛΛΟΙ	12	
ΛΛΟΤΕ	ΛΛΟΤΕ	3	
ΛΛΟΥΣ	ΛΛΟΥΣ	7	
ΛΛΩΝ	ΛΛΩΝ	3	
ΛΟΓΓΑ	ΛΟΓΓΑΝΙΚΟΥ	35	
ΛΟΓΓΑ	ΛΟΓΓΑΝΙΚΟΣ	24	
ΛΟΓΓΑ	ΛΟΓΓΑΝΙΚΟ	21	
ΛΟΓΙΑ	ΛΟΓΙΑΝΙΚΟ	3	
ΛΟΓΙΚ	ΛΟΓΙΚΑΝΙΚΟ	5	
ΛΟΓΚΑ	ΛΟΓΚΑΝΙΚΟΣ	18	
ΛΟΓΚΑ	ΛΟΓΚΑΝΙΚΟ	14	
ΛΟΓΚΑ	ΛΟΓΚΑΝΙΚΟΥ	9	
ΛΟΓΚΑ	ΛΟΓΚΑΝΙΚΑ	3	
ΛΟΓΟΤ	ΛΟΓΟΤΕΧΝΙΑΝ	3	
ΛΟΙΠ	ΛΟΙΠ	4	
ΛΟΚΛΗ	ΛΟΚΛΗΡΟ	3	
ΛΟΝΤΑ	ΛΟΝΤΑΡΙ	4	
ΛΟΥΛΟ	ΛΟΥΛΟ	7	
ΛΟΥΠΗ	ΛΟΥΠΗΣ	4	
ΛΟΥΠΗ	ΛΟΥΠΗ	3	
ΛΟΥΣ	ΛΟΥΣ	21	
ΛΟΥΤΡ	ΛΟΥΤΡΑΚΙΟΥ	7	
ΛΟΦΤΑ	ΛΟΦΤΑ	4	
ΛΟΨΥΧ	ΛΟΨΥΧΑ	4	
ΛΠΙΔΟ	ΛΠΙΔΟΦΟΡΙΑ	3	
ΛΥΚΟΥ	ΛΥΚΟΥΡΕΣΗ	10	
ΛΥΚΟΥ	ΛΥΚΟΥΡΕΣΗΣ	9	
ΛΥΚΟΥ	ΛΥΚΟΥΡΗΣ	3	
ΜΑΓΑΖ	ΜΑΓΑΖΙΩΤΗΣ	4	
ΜΑΓΚΑ	ΜΑΓΚΑΚΗΣ	4	
ΜΑΘΗΤ	ΜΑΘΗΤ	6	
ΜΑΘΗΤ	ΜΑΘΗΤΑΙ	3	
ΜΑΚΡ	ΜΑΚΡ	3	
ΜΑΚΡΙ	ΜΑΚΡΙ	3	
ΜΑΝΑΣ	ΜΑΝΑΣΙΩΤΗ	4	
ΜΑΝΑΣ	ΜΑΝΑΣΙΩΤΗΣ	3	
ΜΑΝΕΣ	ΜΑΝΕΣΙΩΤΗΣ	55	
ΜΑΝΕΣ	ΜΑΝΕΣΙΩΤΗ	27	
ΜΑΝΕΣ	ΜΑΝΕΣΩΤΗΣ	3	
ΜΑΝΕΣ	ΜΑΝΕΣΙΑΣ	3	
ΜΑΝΙΑ	ΜΑΝΙΑΤΩΝ	7	
ΜΑΝΙΑ	ΜΑΝΙΑΤΗ	3	
ΜΑΝΙΝ	ΜΑΝΙΝΟΥ	6	
ΜΑΝΙΣ	ΜΑΝΙΣΙΩΤΗΣ	11	
ΜΑΝΤΖ	ΜΑΝΤΖΩΡΗΣ	11	
ΜΑΝΤΖ	ΜΑΝΤΖΩΡΗ	3	
ΜΑΡΙΛ	ΜΑΡΙΛΗ	3	
ΜΑΡΟΥ	ΜΑΡΟΥΛΗ	5	
ΜΑΡΟΥ	ΜΑΡΟΥΛΗΣ	4	
ΜΑΡΤΙ	ΜΑΡΤΙΝΟΥ	3	
ΜΑΣΟΥ	ΜΑΣΟΥΡΑ	6	
ΜΑΣΟΥ	ΜΑΣΟΥΡΑΣ	4	
ΜΑΥΡΑ	ΜΑΥΡΑΣ	9	
ΜΑΥΡΑ	ΜΑΥΡΑΚΗ	3	
ΜΑΥΡΙ	ΜΑΥΡΙΚΗΣ	3	
ΜΑΥΡΟ	ΜΑΥΡΟΓΙΑΝΝΗ	3	
ΜΕΓΑΛ	ΜΕΓΑΛΟΠΟΛΕΩΣ	7	
ΜΕΓΑΛ	ΜΕΓΑΛΟΠΟΥΛΟΣ	3	
ΜΕΛΕΓ	ΜΕΛΕΓΑΚΗΣ	3	
ΜΕΝΙΔ	ΜΕΝΙΔΗΣ	4	
ΜΕΝΙΟ	ΜΕΝΙΟΥ	3	
ΜΕΡΙΚ	ΜΕΡΙΚ	10	
ΜΕΡΦΗ	ΜΕΡΦΗΣ	4	
ΜΕΣΙΤ	ΜΕΣΙΤΙΚΟΝ	3	
ΜΕΣΟΡ	ΜΕΣΟΡΑΧΗ	3	
ΜΕΣΩΣ	ΜΕΣΩΣ	10	
ΜΕΤΑΞ	ΜΕΤΑΞ	6	
ΜΕΤΑΤ	ΜΕΤΑΤΕΘΗ	3	
ΜΕΤΣΟ	ΜΕΤΣΟΒΙΟΥ	3	
ΜΕΧΑΛ	ΜΕΧΑΛΟΠΟΥΛΟΣ	3	
ΜΗΝΑΚ	ΜΗΝΑΚΑΚΗ	5	
ΜΗΝΑΚ	ΜΗΝΑΚΑΚΗΣ	3	
ΜΗΤΡΟ	ΜΗΤΡΟΠΟΛΙΤΗΝ	4	
ΜΙΚΟΥ	ΜΙΚΟΥ	4	
ΜΙΚΡ	ΜΙΚΡ	14	
ΜΙΛΛΙ	ΜΙΛΛΙΕΞ	4	
ΜΙΜΗΣ	ΜΙΜΗΣΙΝ	5	
ΜΙΣΟΡ	ΜΙΣΟΡΑΧΙ	4	
ΜΙΧΑΛ	ΜΙΧΑΛΟΠΟΥΛΟΣ	27	
ΜΙΧΑΛ	ΜΙΧΑΛΑΧΡΗΣ	12	
ΜΙΧΑΛ	ΜΙΧΑΛΑΠΟΥΛΟΥ	7	
ΜΙΧΑΛ	ΜΙΧΑΛΟΠΟΥΛΟ	6	
ΜΙΧΑΛ	ΜΙΧΑΛΟΧΡΗΣ	5	
ΜΙΧΑΛ	ΜΙΧΑΛΑΠΟΥΛΟΣ	4	
ΜΙΧΑΛ	ΜΙΧΑΛΑΧΡΗΣΤΑ	3	
ΜΙΧΑΛ	ΜΙΧΑΛΑΧΟΥ	3	
ΜΙΧΑΛ	ΜΙΧΑΛΟΧΡΗΣΤΟΣ	3	
ΜΝΗΜΟ	ΜΝΗΜΟΣΙΟ	5	
ΜΟΜΑ	ΜΟΜΑ	3	
ΜΟΝΕΜ	ΜΟΝΕΜΒΑΣΙΑΣ	38	
ΜΟΝΙΜ	ΜΟΝΙΜΟΝ	3	
ΜΟΝΟΔ	ΜΟΝΟΔΕΝΔΡΙ	3	
ΜΟΡΡΗ	ΜΟΡΡΗ	6	
ΜΟΡΡΗ	ΜΟΡΡΗΣ	5	
ΜΟΡΦΟ	ΜΟΡΦΟ	9	
ΜΟΣΧΟ	ΜΟΣΧΟΔΙΤΗΣ	8	
ΜΟΣΧΟ	ΜΟΣΧΟΒΙΤΗ	5	
ΜΟΥΣΤ	ΜΟΥΣΤΑΚΗ	5	
ΜΠΑΘΟ	ΜΠΑΘΟΥΛΗΣ	11	
ΜΠΑΚΗ	ΜΠΑΚΗΣ	70	
ΜΠΑΚΗ	ΜΠΑΚΗ	53	
ΜΠΑΚΚ	ΜΠΑΚΚΗ	3	
ΜΠΑΛΑ	ΜΠΑΛΑΝΗ	6	
ΜΠΑΛΑ	ΜΠΑΛΑΝΗΣ	4	
ΜΠΑΛΑ	ΜΠΑΛΑΣΗ	4	
ΜΠΑΝΗ	ΜΠΑΝΗΣ	4	
ΜΠΑΡΟ	ΜΠΑΡΟΥΝΗΣ	3	
ΜΠΕΛΚ	ΜΠΕΛΚΑΣ	39	
ΜΠΕΛΚ	ΜΠΕΛΚΑ	19	
ΜΠΕΡΝ	ΜΠΕΡΝΤΕΝΗΣ	3	
ΜΠΙΡΜ	ΜΠΙΡΜΠΙΛΗΣ	12	
ΜΠΟΛΑ	ΜΠΟΛΑΝΗΣ	57	
ΜΠΟΛΑ	ΜΠΟΛΑΝΗ	31	
ΜΠΟΛΑ	ΜΠΟΛΑΝΝΗ	7	
ΜΠΟΛΚ	ΜΠΟΛΚΑΣ	4	
ΜΠΟΡΕ	ΜΠΟΡΕ	23	
ΜΠΟΡΙ	ΜΠΟΡΙΚ	4	
ΜΠΟΡΟ	ΜΠΟΡΟ	15	
ΜΠΟΡΟ	ΜΠΟΡΟΣ	4	
ΜΠΟΦΙ	ΜΠΟΦΙΛΙΟΥ	3	
ΜΠΡΟΣ	ΜΠΡΟΣΤ	3	
ΝΑΓΚΗ	ΝΑΓΚΗ	6	
ΝΑΓΝΩ	ΝΑΓΝΩΣΤΕΣ	4	
ΝΑΚΑΚ	ΝΑΚΑΚΗ	3	
ΝΑΜΕΣ	ΝΑΜΕΣΑ	7	
ΝΑΝΤΙ	ΝΑΝΤΙΑ	3	
ΝΑΠΤΥ	ΝΑΠΤΥΞΗ	4	
ΝΑΣΤΑ	ΝΑΣΤΑΣΗ	3	
ΝΑΥΑΡ	ΝΑΥΑΡΙΝΟΥ	3	
ΝΑΦΕΡ	ΝΑΦΕΡΕΤΑΙ	4	
ΝΔΙΑΦ	ΝΔΙΑΦΕΡΟΝ	4	
ΝΔΡΕΑ	ΝΔΡΕΑ	4	
ΝΕΑΡ	ΝΕΑΡ	4	
ΝΕΚΡ	ΝΕΚΡ	3	
ΝΕΛΕ	ΝΕΛΕ	3	
ΝΕΟΧΩ	ΝΕΟΧΩΡΙ	4	
ΝΕΟΧΩ	ΝΕΟΧΩΡΙΟΥ	3	
ΝΕΡΓΕ	ΝΕΡΓΕΙΕΣ	5	
ΝΘΑΡΡ	ΝΘΑΡΡΥΝΤΙΚ	4	
ΝΘΡΩΠ	ΝΘΡΩΠΟΣ	13	
ΝΘΡΩΠ	ΝΘΡΩΠΟΙ	11	
ΝΘΡΩΠ	ΝΘΡΩΠΟ	6	
ΝΘΡΩΠ	ΝΘΡΩΠΟΥΣ	6	
ΝΘΡΩΠ	ΝΘΡΩΠΟΥ	6	
ΝΘΡΩΠ	ΝΘΡΩΠΙΝΗ	4	
ΝΘΡΩΠ	ΝΘΡΩΠΙΣΤΙΚ	3	
ΝΘΡΩΠ	ΝΘΡΩΠΙΝΟ	3	
ΝΙΖΑΜ	ΝΙΖΑΜΗΣ	4	
ΝΙΚΗΤ	ΝΙΚΗΤΑΚΗΣ	7	
ΝΙΚΛΙ	ΝΙΚΛΙ	5	
ΝΙΚΟΛ	ΝΙΚΟΛΑΡΟΣ	47	
ΝΙΚΟΛ	ΝΙΚΟΛΑΚΑΚΗΣ	38	
ΝΙΚΟΛ	ΝΙΚΟΛΑΚΑΚΗ	14	
ΝΙΚΟΛ	ΝΙΚΟΛΕΤΤΑ	5	
ΝΙΚΟΛ	ΝΙΚΟΛΑΡΟΥ	4	
ΝΙΚΟΛ	ΝΙΚΟΛΟΠΟΥΛΟΣ	3	
ΝΙΚΩΝ	ΝΙΚΩΝΟΣ	12	
ΝΙΚΩΝ	ΝΙΚΩΝΑ	3	
ΝΙΣΧΥ	ΝΙΣΧΥΣΗ	5	
